name,description,link,facebook,linkedin,instagram,youtube,website
3-D Printing Club,The purpose of the Penn State 3-D Printing Club is to provide students with the means and opportunity to construct and work with open source 3-D printers and projects associated with 3-D printers.,https://orgcentral.psu.edu/organization/3dprintingclub,https://www.facebook.com/groups,N/A,https://www.instagram.com/psu3dpc,N/A,http://sites.psu.edu/3dprintingclub
A-7,To provide an intimate family atmosphere for Penn State students to promote and fundraise for the Interfraternity Council and Panhellenic Dance Marathon.,https://orgcentral.psu.edu/organization/a-7,https://www.facebook.com/A7ForTheKids,N/A,https://www.instagram.com/a7.psu,N/A,https://go.microsoft.com/fwlink
Acacia,"A Greek fraternity part of the Interfraternity Council (IFC). Acacia focuses on community service and involvement, professional development, academic excellence, and brotherhood.",https://orgcentral.psu.edu/organization/acacia,N/A,N/A,https://www.instagram.com/acaciapennstate,N/A,https://go.microsoft.com/fwlink
Academy Health Student Chapter,To acquaint students with the fields of health services research and health policy. To provide learning opportunities through interaction with health services research and health policy practitioners.,https://orgcentral.psu.edu/organization/academy-health-student-chapter,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Accounting Society,Stimulates the interests of the University in various accounting fields and presents the students with experienced viewpoints from the business world. Join our Flare Groupchat&nbsp;https://flare-event.app.link/wFId9gvgxQb,https://orgcentral.psu.edu/organization/accounting-society,N/A,https://www.linkedin.com/company/pennstateaccountingsociety,https://www.instagram.com/psuacctgsociety,N/A,https://go.microsoft.com/fwlink
Aces Dance Crew,"The purpose of the ACEs Dance Crew is to bring people who like street dancing, such as Hip-Hop, Breaking, MV performance and Contemporary, together, have fun and progress.",https://orgcentral.psu.edu/organization/aces-dance-crew,N/A,N/A,https://www.instagram.com/aces_dance_crew,N/A,https://go.microsoft.com/fwlink
Acoustical Society of America - Penn State Student Chapter,"To stimulate interest in acoustics, encourage acoustical research, diffuse knowledge of acoustics, promote its practical applications, and provide a forum wherein the many aspects of acoustics and related disciplines can b...",https://orgcentral.psu.edu/organization/psuasa,https://www.facebook.com/PennStateASA,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Actuarial Science Club,"Helps actuarial science students to grow professionally and technically, pass actuarial exams, and secure jobs and internships.",https://orgcentral.psu.edu/organization/actsciclub,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Adult Education Graduate Student Association,The purpose of the Adult Education Graduate Student Association is to provide students within the adult education program with a forum to discuss and research new advances in the field of adult education. The Adult Educati...,https://orgcentral.psu.edu/organization/aegsa,N/A,N/A,N/A,N/A,http://www.clubs.psu.edu/up
Adult Learners,"Adult Learners at Penn State is a student organization that seeks to support and enhance the educational and developmental experiences of the adult learner, as defined by Penn State, to facilitate a sense of belonging/ease the integration in campus life.",https://orgcentral.psu.edu/organization/adultlearnersps,https://www.facebook.com/PSUALPS,N/A,N/A,N/A,https://sites.psu.edu/ALPS
Advanced Vehicle Team,We are in the second year towards building a Level 4 self-driving car by June 2025! Part of the AutoDrive II Challenge sponsored by GM and SAE. Also working on a Camaro engine swap. Check our website (avt.psu.edu) for more info and how to get involved!,https://orgcentral.psu.edu/organization/advanced-vehicle-team,N/A,https://www.linkedin.com/company/psu-avt,http://www.instagram.com/psuavt,N/A,https://go.microsoft.com/fwlink
Adventist Campus Ministries,"Provides a place for Adventists/Non-Adventist to discuss in depth aspects of the Bible; promotes spiritual growth, both personal and corporate.",https://orgcentral.psu.edu/organization/psuacm,https://www.facebook.com/acmpsu,N/A,https://instagram.com/acm_psu,N/A,http://www.clubs.psu.edu/up
Advertising and Public Relations Club,"Provides and promotes a better understanding of the function and values of advertising, and stimulates and encourages advertising professionalism through advertising education. Our goal is to educate and guide students in The College of Communications.",https://orgcentral.psu.edu/organization/adclub,https://www.facebook.com/PennStateADPRClub,https://www.linkedin.com/company/penn-state-ad-pr-club,https://instagram.com/pennstateadprclub,N/A,https://go.microsoft.com/fwlink
Aero Design,The purpose of the Penn State Aero Design club is to create a design environment where students can design and build remote control aircraft and compete in national or international competitions.,https://orgcentral.psu.edu/organization/aero-desig,N/A,N/A,N/A,N/A,https://sites.psu.edu/aerodesign
Aerospace Graduate Student Association,"The purpose of AeroGSA is to promote and to enhance graduate school life outside work/classes within the Aerospace Department. We host several professional development activities, and promote social interaction through meet &amp; greet events.",https://orgcentral.psu.edu/organization/aerogsa,N/A,N/A,N/A,N/A,http://sites.psu.edu/aerogsa
Aerospace Studies Student Organization,"To view the main page of Air Force ROTC at Penn State, please visit www.airforce.psu.edu. The mission of the Aerospace Studies Student Organization is to increase cadet engagement through professional development and morale building opportunities",https://orgcentral.psu.edu/organization/aerospace-studies-student-organization,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Afrique Fusion,Spreading the culture of Africa through dance to enhance the understanding of our African Heritage.,https://orgcentral.psu.edu/organization/afriquefusion,N/A,N/A,https://www.instagram.com/psuafriquefusion,N/A,https://go.microsoft.com/fwlink
Ag Advocates,"The Ag Advocates serve as ambassadors for the College of Agricultural Sciences, connecting with future students, alumni, and other stakeholders to share their enthusiasm for Penn State Ag and its critical role in nourishing both people and the planet.",https://orgcentral.psu.edu/organization/ag-advocates,N/A,N/A,N/A,N/A,https://agsci.psu.edu/students
Agribusiness Management/Nama Club,The Agribusiness Management/NAMA Club at Penn State is a student run organization devoted to professional and educational development specific to the food and agriculture industry. We strive every semester to create a dive...,https://orgcentral.psu.edu/organization/agribusinessmanagementclub,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Agricultural and Biological Engineering Graduate Student Council,To provide graduate representation and offer a venue for building collegiality for ABE graduate students.,https://orgcentral.psu.edu/organization/abegsc,N/A,N/A,https://www.instagram.com/psuabegsc,N/A,http://www.clubs.psu.edu/up
Agricultural Robotics Club,"Agribot fosters an interest in science, technology, engineering, and mathematics (STEM) fields. Students engage in hands-on learning, applying theoretical knowledge to practical projects, mostly related to agricultural tasks.",https://orgcentral.psu.edu/organization/agribot,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Agricultural Student Council,"Agricultural Student Council is an organization focused on unity, leadership, and professional development for the clubs in the College of Agricultural Sciences by building bridges between clubs, administration, and other colleges within Penn State.",https://orgcentral.psu.edu/organization/agricultural-student-council,N/A,N/A,https://instagram.com/psuasc,N/A,http://agsci.psu.edu/clubs
Agronomy Club,"Stimulates agronomic interest among students, and fosters a spirit of cooperation through wider acquaintances, and mutual friendships among students and the University community.",https://orgcentral.psu.edu/organization/agronomy-club,https://www.facebook.com/pennstateagronomyclub,N/A,N/A,N/A,http://agsci.psu.edu/clubs
Al-Ghadeer Association,Al-Ghadeer Association is a community for Shi'as and those interested to know more about Shia Islam in the PSU and State College area.,https://orgcentral.psu.edu/organization/al-ghadeer,https://www.facebook.com/AlGhadeerPSU,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Albanian Student Association,"The Albanian Student Association (ASA) at Penn State promotes Albanian culture, heritage, and community. We provide a welcoming space for students to connect, celebrate traditions, and share experiences. All are welcome!",https://orgcentral.psu.edu/organization/albanian_student_association,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Alliance Christian Fellowship,"A Penn State campus ministry that is run by students and functions as a church away from home for anyone who wants to grow their relationship with God through worship, fellowship with like-minded students, Biblical teaching, and prayer.",https://orgcentral.psu.edu/organization/alliance-christian-fellowship,https://www.facebook.com/ACFpennstate,N/A,https://www.instagram.com/acfpennstate,N/A,https://go.microsoft.com/fwlink
Alliance of Heroic Hearts,"The purpose of AoHH is to educate, encourage, and inspire children everywhere! Our organization's volunteers dress up as Superheroes or Princesses and visit children's hospitals, schools, and community events to try and make children's days brighter.",https://orgcentral.psu.edu/organization/alliance-of-heroic-hearts,https://www.facebook.com/allianceofheroichearts,N/A,https://www.instagram.com/allianceofheroichearts,N/A,https://go.microsoft.com/fwlink
Ally House,Ally House is a special living option designed to give members of the queer community a safe and comfortable living environment.,https://orgcentral.psu.edu/organization/ally-house,N/A,https://www.linkedin.com/company/ally-house-llc,http://www.instagram.com/allyhouse.psu,N/A,https://go.microsoft.com/fwlink
Alpha Chi Rho,A Fraternity looking to recruit men of word and deed.,https://orgcentral.psu.edu/organization/alphachirho,N/A,N/A,https://www.instagram.com/axppsu,N/A,https://go.microsoft.com/fwlink
Alpha Delta Phi,"A fraternity focused on brotherhood, positive change within our community, and professional growth within ourselves.",https://orgcentral.psu.edu/organization/www-alphadeltaphi-org,https://www.facebook.com/ADPhiPSU,N/A,http://www.instagram.com/psualphadelt,N/A,https://go.microsoft.com/fwlink
Alpha Delta Pi,"Alpha Delta Pi is a Panhellenic Sorority founded on a commitment to strengthening our own character and personality, watching our attitudes towards our fellow-beings, recognizing the values of high educational standards, and developing faith and loyalty.",https://orgcentral.psu.edu/organization/alpha-delta-pi,N/A,N/A,https://www.instagram.com/adpipsu,N/A,https://go.microsoft.com/fwlink
Alpha Epsilon Delta,"AED is Penn State's &quot;pre-health toolbox.&quot; We offer professional connections and resources, service projects, and an inclusive community to support student journeys into medicine. AED is dedicated to fostering the development of future healthcare leaders.",https://orgcentral.psu.edu/organization/alphaepsilondelta,https://www.facebook.com/groups,N/A,https://www.instagram.com/aedpsu,N/A,https://go.microsoft.com/fwlink
Alpha Epsilon Honor Society Omicron Chapter,"The Alpha Epsilon Honor Society is the honor society for outstanding agricultural, biological, and food engineers.",https://orgcentral.psu.edu/organization/alphaepsilon,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Alpha Gamma Rho,"The Purpose of Alpha Gamma Rho is to make better men, by surrounding our members with influences that encourage individual endeavor, resourcefulness, and aggressive effort.",https://orgcentral.psu.edu/organization/alphagammarho,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
"alpha Kappa Delta Phi International Sorority, Inc.","alpha Kappa Delta Phi Sorority promotes Sisterhood, Scholarship, Leadership, Service and Asian Awareness. We are the largest Asian-interest sorority, with chapters at universities across the United States and Canada.",https://orgcentral.psu.edu/organization/alpha-kappa-delta-phi-international-sorority-inc,N/A,N/A,https://www.instagram.com/psuakdphi,N/A,https://go.microsoft.com/fwlink
Alpha Kappa Lambda,"Alpha Kappa Lambda (ΑΚΛ) is an American collegiate social fraternity for men founded at the University of California, Berkeley, in 1914. Today, it operates 23 active chapters and colonies and over 27,000 initiated members.",https://orgcentral.psu.edu/organization/alpha-kappa-lambda,https://www.facebook.com/AKLpennstate,N/A,https://www.instagram.com/akl_psu,N/A,https://go.microsoft.com/fwlink
Alpha Kappa Psi,"Alpha Kappa Psi is the proud home to brothers pursuing majors in nearly every academic college! The diverse mindsets, passions, and interests among each brother has made the fraternity a community full of growth and opportunity for each individual.",https://orgcentral.psu.edu/organization/alpha-kappa-psi,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Alpha Nu Sigma Society,"The objective of the Alpha Nu Sigma Society shall be to recognize high scholarship, integrity, and potential achievement in applied nuclear science and nuclear engineering among outstanding students by means of membership in the society.",https://orgcentral.psu.edu/organization/alpha-nu-sigma-society,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Alpha Omega Campus Ministry,"Club about Jesus open to all! No experience or background necessary. We love having open discussions directly from the Bible! Bibletalks twice a week. Fun activities on Fridays (Debate Night, Family Feud, Blindfolded Musical Chairs, Manhunt, etc.)",https://orgcentral.psu.edu/organization/alpha_omega_cm,N/A,N/A,https://www.instagram.com/pennstateao,N/A,https://go.microsoft.com/fwlink
Alpha Omicron Pi,"The Object of the Fraternity shall be to encourage a spirit of fraternity and love among its members; to stand at all times for character, dignity, scholarship, and college loyalty.",https://orgcentral.psu.edu/organization/alpha-omicron-pi-psu,N/A,N/A,https://www.instagram.com/aoiipennstate,N/A,https://go.microsoft.com/fwlink
"Alpha Phi Alpha Fraternity, Inc.","The first Black Intercollegiate Fraternity founded on Tuesday December 4th, at Cornell University in Ithica New York",https://orgcentral.psu.edu/organization/alpha-phi-alpha-fraternity-inc,N/A,N/A,https://www.instagram.com/pennstatealphas,https://www.youtube.com/user/PennStateAlphas,https://go.microsoft.com/fwlink
Alpha Phi,"Alpha Phi International Fraternity is a membership organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity and advocating service. Alpha Phi develops character for a lifetime.",https://orgcentral.psu.edu/organization/alpha-phi,N/A,N/A,https://www.instagram.com/psu_alphaphi,N/A,https://go.microsoft.com/fwlink
Alpha Phi Delta,"Alpha Phi Delta was founded at Penn State in 1929. Originally founded as an Italian Fraternity, Alpha Phi Delta now looks to its Italian Heritage as it progresses into the future.",https://orgcentral.psu.edu/organization/alpha-phi-delta,http://facebook.com/APDchiChapter,N/A,https://www.instagram.com/apdpsu,N/A,https://go.microsoft.com/fwlink
Alpha Phi Omega,Prepare campus and community leaders through service.,https://orgcentral.psu.edu/organization/apo,N/A,N/A,N/A,N/A,http://www.clubs.psu.edu/up
Alpha Pi Mu,Promotes the professional development and welfare in the field of industrial engineering and encourages participation in activities and interests of industrial engineering.,https://orgcentral.psu.edu/organization/upapm,N/A,N/A,N/A,N/A,http://sites.psu.edu/upapm
Alpha Rho Chi,"Alpha Rho Chi is the professional, co-ed fraternity for architecture and its allied arts.",https://orgcentral.psu.edu/organization/alpha-rho-chi,N/A,N/A,https://www.instagram.com/apxvitruvius,N/A,https://go.microsoft.com/fwlink
Alpha Sigma Alpha,Elevating the influence of women in the world,https://orgcentral.psu.edu/organization/alphasigmaalpha,N/A,N/A,https://www.instagram.com/asa_psu,N/A,https://go.microsoft.com/fwlink
Alpha Sigma Phi,Alpha Sigma Phi Upsilon chapter founded in 1918 is a greek organization predicated on the principle of bettering the man. Alpha Sigma Phi seeks to ensure that every individual apart of the organization makes a positive impact here at Penn State.,https://orgcentral.psu.edu/organization/alpha-sigma-phi,N/A,N/A,https://www.instagram.com/alphasig_psu,N/A,https://go.microsoft.com/fwlink
Alpha Tau Omega,The Leadership Fraternity of America,https://orgcentral.psu.edu/organization/alpha-tau-omega-migrated,N/A,N/A,https://www.instagram.com/atopennstate,N/A,https://go.microsoft.com/fwlink
Alpha Xi Delta,"Realize Your Potential. The mission of Alpha Xi Delta is to enrich the life of every Alpha Xi Delta. We will nurture unity and cooperation, foster intellectual, professional and personal growth, exemplify the highest ethical conduct, and more.",https://orgcentral.psu.edu/organization/alpha-xi-delta,N/A,N/A,http://instagram.com/alphaxipsu,N/A,https://go.microsoft.com/fwlink
Alpha Zeta,"Alpha Zeta is an Honorary, Professional, Co-ed, Agriculture based Fraternity",https://orgcentral.psu.edu/organization/alpha-zeta,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Alumni of Pennsylvania School for Excellence in the Agricultural Sciences,"Alumni of PGSAS/PSEAS providing outreach, network, and support.",https://orgcentral.psu.edu/organization/pseasalumni,https://www.facebook.com/GovSchoolAgSci,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Alzheimer's Buddies,A student-led organization aimed to overcome the social disengagement experienced by those with Alzheimer’s Disease by pairing student volunteers 1-to-1 with dementia residents.,https://orgcentral.psu.edu/organization/alzbuddies,N/A,N/A,http://www.instagram.com/psu_alzbuddies,N/A,https://sites.psu.edu/alzbuddies
Alzheimer’s Awareness Club,"The Alzheimer's Awareness Club aims to raise awareness for Alzheimer's and dementia and to support research, advocate for improved healthcare services, and provide resources for those navigating the challenges of Alzheimer's",https://orgcentral.psu.edu/organization/aac,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Amateur Radio Club,"As a chartered club with the ARRL (American Radio Relay League), PSARC engages in amateur radio communications for enjoyment and service to increase the radio operating proficiency and technical knowledge of its members.",https://orgcentral.psu.edu/organization/k3cr,N/A,N/A,https://www.instagram.com/k3cr,N/A,http://www.clubs.psu.edu/up
Ambitions Performance Company,"Mission Our Purpose: To have an open group and Company that will help to expose dancers to a variety of different styles and techniques along with having a focus on creating, shaping, and presenting choreography.The G...",https://orgcentral.psu.edu/organization/ambitions,N/A,N/A,https://www.instagram.com/ambitions_psu,https://www.youtube.com/user/AmbitionsPSU,https://go.microsoft.com/fwlink
American Association of Drilling Engineers,"The American Association of Drilling Engineers is a professional society with the purpose of gaining energy industry exposure for its members. This is pursued with technical electives, technical discussions, and tours of oil and natural gas rigs.",https://orgcentral.psu.edu/organization/aade,https://www.facebook.com/aade.psu.5,N/A,https://instagram.com/aade_psu,https://www.youtube.com/channel/UCS7moxOWxQ5MGLe5yx-j1Hg,https://go.microsoft.com/fwlink
American Choral Directors Association of Penn State University Park,"The ACDA chapter at Penn State is a vibrant and dynamic group of choral enthusiasts dedicated to the advancement of choral music through education, performance, and community outreach. The chapter provides opportunities for professional development.",https://orgcentral.psu.edu/organization/pennstateacda,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
American College of Health Care Administrators,The Purpose of the American College of Health Care Administrators is to provide professional development and guidance to its members in order to help them prepare for the challenges in long-term care administration.,https://orgcentral.psu.edu/organization/achca,https://www.facebook.com/PSUACHCA,N/A,https://www.instagram.com/achca_psu,N/A,https://go.microsoft.com/fwlink
American Concrete Institute Student Chapter,"The purpose of ACI-PSU is to expose our members to the field of concrete engineering, including the studies of structural engineering and material science in coordination with the American Concrete Institute.",https://orgcentral.psu.edu/organization/aci-psu,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
American Foundation for Suicide Prevention,"AFSP Penn State aims to raise awareness about suicide prevention, reduce the stigma surrounding mental health, and provide support for those who have lost loved ones to suicide.",https://orgcentral.psu.edu/organization/afsp,https://www.facebook.com/AFSPnational,N/A,https://www.instagram.com/afsppennstate,N/A,https://go.microsoft.com/fwlink
American Institute of Aeronautics and Astronautics,Our chapter’s mission is to&nbsp;instill a passion for aerospace engineering that leads our members to pursue impactful and successful careers. We seek to promote technical excellence and collaboration between our members and the Aerospace faculty at PSU.,https://orgcentral.psu.edu/organization/aiaa,N/A,N/A,https://www.instagram.com/psu_aiaa,N/A,https://sites.psu.edu/psuaiaa
American Institute of Architecture Students,The American Institute of Architecture Students at Penn State is a local chapter of the largest student-run architecture organization worldwide. It provides a place for like-minded students to grow together as individuals and professionals.,https://orgcentral.psu.edu/organization/aias,N/A,N/A,https://www.instagram.com/aias.psu,N/A,http://www.clubs.psu.edu/up
American Institute of Chemical Engineers,"We strive to enhance the experience of all Chemical Engineering students by offering resources and hosting a variety of events including professional development, research integration, and panel events with alumni, faculty, and other students",https://orgcentral.psu.edu/organization/aiche,N/A,N/A,https://www.instagram.com/aiche.psu,N/A,http://sites.psu.edu/aiche
American Marketing Association,"The mission of Penn State AMA is to provide its student members with real-world business experience; not just limited to the fundamentals of marketing, but also exploring all professional and rudimentary skills of business...",https://orgcentral.psu.edu/organization/psama,https://www.facebook.com/weare.psama,https://www.linkedin.com/company/psama-penn-state-marketing-association,https://www.instagram.com/weare.psama,https://www.youtube.com/channel/UCnLMCF1KYlFAgoYoGm2hIrw,https://go.microsoft.com/fwlink
American Medical Student Association,"AMSA is an academic and professional development organization for students interested in attending medical or PA school. Meetings feature guest speakers, networking events, and application help sessions.",https://orgcentral.psu.edu/organization/amsa,N/A,N/A,https://www.instagram.com/pennstateamsa,N/A,https://go.microsoft.com/fwlink
American Nuclear Society,"Promotes fellowship, knowledge, and professional contacts with nuclear science and engineering, and within the field of nuclear science.",https://orgcentral.psu.edu/organization/psu_ans,N/A,N/A,https://www.instagram.com/pennstate_ans,N/A,https://go.microsoft.com/fwlink
American Society for Biochemistry and Molecular Biology Graduate Student and Post-Doc Chapter,"We are devoted to building a diverse, inclusive and vibrant community of grad students and postdocs for the advancement of biochemistry and molecular biology research, education and science outreach through networking and career development opportunities",https://orgcentral.psu.edu/organization/asbmbgs-pd,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
American Society for Microbiology,Develops leadership and aids in the general welfare of students interested in microbiology through active participation in special projects and guest speakers.,https://orgcentral.psu.edu/organization/american-society-for-microbiology,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
American Society of Agricultural and Biological Engineers,"The purpose of the pre-professional branch of ASABE is to promote directly and indirectly the interests of the students of Agricultural and Biological Engineering, particularly as these interests relate to their profession.",https://orgcentral.psu.edu/organization/asabe,N/A,N/A,https://instagram.com/asabepsu,N/A,https://sites.psu.edu/asabe
American Society of Civil Engineers,"Our goal as a student organization is to encourage active interest in the study of Civil and Environmental Engineering, aid in professional and intellectual advancement, and establish bonds of good fellowship among our members.",https://orgcentral.psu.edu/organization/asce,N/A,https://www.linkedin.com/company/penn-state-asce-student-chapter,N/A,N/A,https://go.microsoft.com/fwlink
"American Society of Heating, Refrigerating and Air-Conditioning Engineers","Promotes the advancement of the sciences of heating, refrigeration, and air conditioning engineering, and related sciences, through lectures, demonstrations, and publications.",https://orgcentral.psu.edu/organization/ashrae,N/A,N/A,N/A,N/A,https://sites.psu.edu/ashrae
American Society of Mechanical Engineers,"Technical and social community for engineers at Penn State, especially mechanical engineers. This happens through social events, workshops, design competitions, and more!",https://orgcentral.psu.edu/organization/asmeuniversitypark,N/A,N/A,http://www.instagram.com/asmepsu,N/A,https://go.microsoft.com/fwlink
American String Teachers Association at Penn State,"ASTA is an undergrad and graduate student organization that promotes a greater interest, participation, high standards and additional teaching/engaging opportunities for all string players at all levels within the music community.",https://orgcentral.psu.edu/organization/asta2,https://www.facebook.com/ASTAMDDCchapter,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Animal Science Graduate Research Collaborative,"The Animal Science Graduate Research Collaborative (ASGRC) is dedicated to fostering a collaborative and inclusive community of graduate students in animal science, advancing interdisciplinary relationships, and promoting outreach to undergraduates inter",https://orgcentral.psu.edu/organization/asgrc,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Animation Club,"Our mission is to promote the art of contemporary animation and an appreciation of animation's rich history, to encourage young animators, film-makers, artists and also, to cultivate the interest in and promote the arts and animation.",https://orgcentral.psu.edu/organization/animationclubpsu,N/A,N/A,https://www.instagram.com/animationclubpsu,https://www.youtube.com/channel/UC0fL7n20rMIWQS1XVCG0mzg,https://go.microsoft.com/fwlink
Anime Organization,"The Penn State Anime Organization (PSAO) will sponsor events promoting the understanding and enjoyment of the Japanese art forms of anime (Japanese Animation), manga (Japanese comics), and anime associated video games.",https://orgcentral.psu.edu/organization/pennstateanime,https://www.facebook.com/pennstateanime,N/A,https://www.instagram.com/pennstateanime,N/A,https://sites.psu.edu/pennstateanime
Anthropology Graduate Student Association,"AGSA raises money for graduate students to travel to professional meetings and serves as an information center for concerns related to anthropology graduate student life, such as curriculum and funding.",https://orgcentral.psu.edu/organization/agsa,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Apollo,"Apollo is an organization where the forefront of our efforts/events are all for the benefit of THON. Originating in 2011, Apollo has raised more than One Million Dollars for the four-diamond fund, and we show no signs of slowing down.",https://orgcentral.psu.edu/organization/apollongu,https://www.facebook.com/apollongu,N/A,https://www.instagram.com/apollongu,https://www.youtube.com/channel/UCQ_5f4dHcVCLHL47dO-lKcw,https://go.microsoft.com/fwlink
Apple iOS Developers,"The Penn State AIDUP is a club for students interested in iOS app development. Our members learn new skills, work on real-world projects, and connect with industry professionals. We provide a supportive community for members to grow and excel.",https://orgcentral.psu.edu/organization/aidup,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Arabian Youth Society,"At the Arabian Youth, we believe in inspiring, engaging, and uplifting young individuals to become compassionate leaders who make a lasting difference in the world around them.",https://orgcentral.psu.edu/organization/arabianyouths,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Architectural Engineering Graduate Student Association,The purpose of this Chapter is to serve the interests of the graduate students of the Architectural Engineering department at the Penn State University and act as a conduit between the students and the decision makers with...,https://orgcentral.psu.edu/organization/architectural-engineering-graduate-students,N/A,N/A,https://instagram.com/psuaegsa,N/A,https://go.microsoft.com/fwlink
Arieh Jewish Women's Club,Arieh Jewish Women's Club is an organization designed to give Jewish women on campus a place to connect to their culture while also growing as an individual. Arieh is a space that promotes self-expression and community.,https://orgcentral.psu.edu/organization/ariehjewishwomensclub,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Army Rotc,The purpose of the Penn State Army Reserve Officer Training Corps is to teach students the leadership and management skills needed to become a U.S. Army Officer or have a successful civilian career.,https://orgcentral.psu.edu/organization/army-rotc,https://www.facebook.com/PSU.ARMY.ROTC,N/A,https://www.instagram.com/psuarmyrotc,N/A,https://go.microsoft.com/fwlink
Arnold Ebbitt Interdisciplinary Rhetoricians,We are a group of rhetoricians promoting interdisciplinary scholarly conversations. We provide resources and assistance with professional development and teaching while organizing professional and co-curricular events for graduate students.,https://orgcentral.psu.edu/organization/aeir,https://www.facebook.com/groups,N/A,N/A,N/A,https://sites.psu.edu/aeir
Art Club at Penn State,"Our goal is to create a diverse community of artists, open to all different skills and styles. If you love art, wish to find and meet fellow artists, or would like to learn about art, join the club. Our discord link:https://discord.gg/QW4BaBMUh",https://orgcentral.psu.edu/organization/art-club-at-penn-state,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Art History Club,"The Art History Club will aim to bring together individuals of similar interests to view, study, make, and discuss history, art, and society as a whole.",https://orgcentral.psu.edu/organization/arthclub,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Arts and Architecture House,Promotes a favorable academic and social atmosphere for students interested in any Arts and Architecture field.,https://orgcentral.psu.edu/organization/arts-and-architecture-house,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Arts and Architecture Student Council,The Arts and Architecture Student Council promotes artistic and creative pursuits of students within the College of Arts and Architecture and aims to improve academic and civic life through organized debate and equal representation from all disciplines.,https://orgcentral.psu.edu/organization/aasc,N/A,N/A,https://www.instagram.com/pennstateaasc,N/A,https://go.microsoft.com/fwlink
Asian American Christian Fellowship,Established for the express purpose of providing opportunities for Asian students at the University to grow in their relationship with Jesus Christ.,https://orgcentral.psu.edu/organization/aacf,N/A,N/A,https://www.instagram.com/epicpsu,https://www.youtube.com/c/epicpsu,https://sites.psu.edu/epicpsu
Asian Basketball Club,Joining the Asian Basketball Club is simple and open to everyone! Just connect with us through our social media channels or come to one of our practice sessions to meet the team.,https://orgcentral.psu.edu/organization/asc,N/A,N/A,https://www.instagram.com/psu_asianbasketballclub,N/A,https://go.microsoft.com/fwlink
Asian Classical Music Club,"The purpose of the Penn State Asian Classical Music Club (ACMC) is to provide a platform for Asian traditional folk instruments players and promote communication between eastern and western culture, especially music culture.",https://orgcentral.psu.edu/organization/acmc,N/A,N/A,N/A,N/A,http://sites.psu.edu/acmc
Asian Pacific Islander Desi American Caucus,The Asian Pacific Islander Desi American Caucus advocates on behalf of the collective Asian community at Penn State. We celebrate and promote diversity and inclusion of all individuals in the Penn State Community.,https://orgcentral.psu.edu/organization/apidacaucus,N/A,N/A,https://www.instagram.com/psuapidacaucus,N/A,https://go.microsoft.com/fwlink
Asian Student Association,The Asian Undergraduate Students Association aims to give back to the Asian community at the Pennsylvania state university by creating opportunities to achieve a higher sense of cultural and social awareness. We will serve...,https://orgcentral.psu.edu/organization/ausa,N/A,N/A,https://www.instagram.com/psu.asa,N/A,https://go.microsoft.com/fwlink
Asian Student Fitness Club,The Asian Student Fitness Club (ASFC) is dedicated to creating a vibrant and supportive community for students passionate about fitness and bodybuilding.,https://orgcentral.psu.edu/organization/asfc,N/A,https://www.linkedin.com/company/asian-student-fitness-club,https://www.instagram.com/asfc_psu,N/A,https://go.microsoft.com/fwlink
Asian Volleyball Club,"AVC at Penn State is a Social Asian volleyball club held every Friday. Founded in 2019, we strive to build strong chemistry and teamwork through organized volleyball practices. Starting from 10 members back in 2019, we grew up to 40 members in the club.",https://orgcentral.psu.edu/organization/avcpennstate,N/A,N/A,https://www.instagram.com/_pennvo_,N/A,https://go.microsoft.com/fwlink
